"mrcuis"|"str"
C0444499|"0/5"
C0450319|"1051"
C1520273|"10Q21"
C0442766|"1/24"
C0135262|"1-(2-(4-AMINOPHENYL)ETHYL)-4-(3-TRIFLUOROMETHYLPHENYL)PIPERAZINE (PAPP)"
C1520470|"12P12"
C1520474|"12P13"
C0090388|"14-3-3 PROTEIN"
C1552130|"16S"
C1520768|"17Q21"
C1520846|"19P13.12"
C1520855|"19Q13"
C1520865|"19Q13.32"
C1553633|"1A"
C0914069|"1-ALKYL-2-ACETYLGLYCEROPHOSPHOCHOLINE ESTERASE"
C0740116|+2
C0000325|"20-METHYLCHOLANTHRENE"
C1521104|"22Q11.2"
C0045511|"2,4-DINITROPHENOL (DNP)"
C0000343|"25-HYDROXY ERGOCALCIFEROL"
C0535968|"25-HYDROXYVITAMIN D"
C0286330|"26S ATP-DEPENDENT PROTEASOME"
C4319602|"27"
C0172934|"27-HYDROXYCHOLESTEROL"
C1553619|"28P"
C1553667|"29A"
C0046196|"2-HYDROXYESTRADIOL"
C1552116|"2S"
C0442757|"3/4"
C0442759|"3/6"
C1442459|"3 DAYS"
C0000399|"3-DEAZAURIDINE"
C2975999|"3-HYDROXY-3-METHYLGLUTARYL-COENZYME A REDUCTASE"
C0047472|"3-HYDROXYKYNURENINE"
C0332060|"3M PHARMACEUTICALS"
C0047645|"3-NITROTYROSINE"
C0600600|"3' UNTRANSLATED REGION"
C0439509|/40
C0048865|"5,11-METHENYLTETRAHYDROHOMOFOLATE (MTHF)"
C1455498|"5,6-DIHYDROXYINDOLE-2-CARBOXYLIC ACID OXIDASE"
C2350345|"5'-AMP-ACTIVATED PROTEIN KINASE"
C1531433|"5-HYDROXYTRYPTAMINE RECEPTOR 2A"
C0049308|"5-METHYLCYTOSINE"
C1826478|"5'-NUCLEOTIDASE, CYTOSOLIC IIIB"
C1521452|"5P"
C0600493|"5' UNTRANSLATED REGION"
C0442748|"6/4"
C1521535|"6P21.1"
C1521551|"6P25"
C1419129|"6-PYRUVOYLTETRAHYDROPTERIN SYNTHASE"
C0049865|"7 DEHYDROCHOLESTEROL"
C1414040|"7-DEHYDROCHOLESTEROL REDUCTASE"
C0049866|"7-DEHYDROCHOLESTEROL REDUCTASE"
C1521639|"7Q21"
C0050078|"8-HYDROXY-DEOXYGUANOSINE"
C0295541|"8-ISOPROSTANE"
C1515502|"9P21.3"
C1300813|ABDOMINAL CIRCUMFERENCE
C1510714|ABERRANT DNA METHYLATION
C0085732|ABILITY
C0562734|ABILITY TO PERFORM PERSONAL CARE ACTIVITY
C0262361|ABNORMAL GROWTH
C1704258|ABNORMALITY
C0423571|ABNORMAL SENSATION
C0935542|ABORIGINES
C0000833|ABSCESS MORPHOLOGY
C0000849|ABSENTEEISM
C4285220|ABSORBABLE MODIFIED POLYMER HEMOSTATIC POWDER
C0233642|ABSTRACT THINKING
C1510747|ACADEMIA
C0700132|ACADEMIC ACHIEVEMENT
C0542560|ACADEMIC DEGREE
C0000876|ACADEMY
C0050393|ACARBOSE-CONTAINING PRODUCT
C0178951|ACCELEROMETERS
C3645535|ACCEPTABILITY
C0000901|ACCEPTORS
C0151736|ACCIDENTAL INJURY
C0728853|ACCIDENT DUE TO WEATHER EXPOSURE
C0000924|ACCIDENTS AND FALLS
C0000934|ACCLIMATIZATION
C0000938|ACCOUNTING
C4055506|ACCUMULATION
C0443131|ACCURATE
C0000966|ACETALDEHYDE
C0000975|ACETATE
C0001028|ACETATE-COA LIGASE
C0001038|ACETYLATION
C0001041|ACETYLCHOLINE PREPARATION
C0001044|ACETYLCHOLINESTERASE
C0001046|ACETYLCHOLINESTERASE INHIBITORS
C0001026|ACETYLCOENZYME A
C0001022|ACETYL COENZYME A CARBOXYLASE
C0001040|ACETYL-L-CARNITINE
C2000891|ACID CERAMIDASE
