agent_name	grounding	other_mapping	cui
APOE	"('HGNC', '613')"	"{'UP': 'P02649', 'TEXT': 'APOE', 'HGNC': '613', 'MESH': 'D001057'}"	C0003595
AD	"(None, None)"	"{'PF': 'PF09793', 'TEXT': 'AD'}"	C1843013
17beta-estradiol	"('CHEBI', 'CHEBI:16469')"	"{'PUBCHEM': '5757', 'TEXT': 'E2', 'DRUGBANK': 'DB00783', 'CHEBI': 'CHEBI:16469', 'CHEMBL': 'CHEMBL135', 'HMDB': 'HMDB0000151', 'MESH': 'D004958', 'CAS': '50-28-2'}"	C0014912
ABCA2	"('HGNC', '32')"	"{'UP': 'Q9BZC7', 'TEXT': 'ABCA2', 'HGNC': '32'}"	C1412061
low-density lipoprotein	"('CHEBI', 'CHEBI:39026')"	"{'CHEBI': 'CHEBI:39026', 'TEXT': 'low-density lipoprotein'}"	C0023823
SIRT1	"('HGNC', '14929')"	"{'UP': 'Q96EB6', 'TEXT': 'SIRT1', 'HGNC': '14929', 'MESH': 'D056564'}"	C2720167
cell population proliferation	"('GO', 'GO:0008283')"	"{'GO': 'GO:0008283', 'TEXT': 'cell proliferation', 'MESH': 'D049109'}"	C0596290
LDLR	"('HGNC', '6547')"	"{'UP': 'P01130', 'TEXT': 'LDLR', 'MESH': 'D011973', 'HGNC': '6547'}"	C3493221
cell population proliferation	"('GO', 'GO:0008283')"	"{'GO': 'GO:0008283', 'TEXT': 'proliferation', 'MESH': 'D049109'}"	C0596290
Cell Survival	"('MESH', 'D002470')"	"{'MESH': 'D002470', 'TEXT': 'cell survival'}"	C0007620
RENBP	"('HGNC', '9959')"	"{'UP': 'P51606', 'TEXT': 'age', 'HGNC': '9959'}"	C1419339
MSLN	"('HGNC', '7371')"	"{'UP': 'Q13421', 'TEXT': 'MPF', 'HGNC': '7371'}"	C0380162
ADIPOQ	"('HGNC', '13633')"	"{'UP': 'Q15848', 'TEXT': 'adiponectin', 'MESH': 'D052242', 'HGNC': '13633'}"	C1540187
Abeta	"(None, None)"	{'TEXT': 'Abeta'}	C1705543
Encephalitis	"('MESH', 'D004660')"	"{'MESH': 'D004660', 'TEXT': 'encephalitis'}"	C0014038
APOE	"('HGNC', '613')"	"{'UP': 'P02649', 'TEXT': 'apoE', 'HGNC': '613', 'MESH': 'D001057'}"	C0003595
MAPT	"('HGNC', '6893')"	"{'UP': 'P10636', 'TEXT': 'tau', 'HGNC': '6893'}"	C1446659
AFMID	"('HGNC', '20910')"	"{'UP': 'Q63HM1', 'TEXT': 'k f', 'HGNC': '20910', 'MESH': 'D005558'}"	C1427198
apoE4	"(None, None)"	{'TEXT': 'apoE4'}	C0052201
pathogenesis	"('GO', 'GO:0009405')"	"{'GO': 'GO:0009405', 'TEXT': 'pathogenesis'}"	C0699748
estrogen	"('CHEBI', 'CHEBI:50114')"	"{'CHEBI': 'CHEBI:50114', 'TEXT': 'estrogen'}"	C0014939
Cerebrovascular Disorders	"('MESH', 'D002561')"	"{'MESH': 'D002561', 'TEXT': 'cerebrovascular disease', 'EFO': '0003763'}"	C0007820
Dementia	"('MESH', 'D003704')"	"{'MESH': 'D003704', 'TEXT': 'dementia'}"	C0497327
Pro-Asp	"('CHEBI', 'CHEBI:74756')"	"{'PUBCHEM': '7079450', 'TEXT': 'PD', 'CHEBI': 'CHEBI:74756', 'CHEMBL': 'CHEMBL190704'}"	C0206298
Alzheimer Disease	"('MESH', 'D000544')"	"{'MESH': 'D000544', 'TEXT': ""Alzheimer's disease""}"	C0002395
MFSD11	"('HGNC', '25458')"	"{'UP': 'O43934', 'TEXT': 'ET', 'HGNC': '25458'}"	C2239682
Dementia	"('MESH', 'D003704')"	"{'MESH': 'D003704', 'TEXT': 'Dementia'}"	C0497327
memantine	"('CHEBI', 'CHEBI:64312')"	"{'PUBCHEM': '4054', 'TEXT': 'memantine', 'MESH': 'D008559', 'HMDB': 'HMDB0015177', 'CHEMBL': 'CHEMBL807', 'DRUGBANK': 'DB01043', 'CHEBI': 'CHEBI:64312', 'CAS': '19982-08-2'}"	C0025242
OPN1MW	"('HGNC', '4206')"	"{'UP': 'P04001', 'TEXT': 'CBD', 'HGNC': '4206'}"	C1415024
rivastigmine	"('CHEBI', 'CHEBI:8874')"	"{'PUBCHEM': '77991', 'TEXT': 'rivastigmine', 'CHEBI': 'CHEBI:8874', 'CAS': '123441-03-2', 'MESH': 'D000068836', 'CHEMBL': 'CHEMBL636', 'DRUGBANK': 'DB00989', 'HMDB': 'HMDB0015124'}"	C0649350
cannabidiol	"('CHEBI', 'CHEBI:69478')"	"{'CHEBI': 'CHEBI:69478', 'TEXT': 'Cannabidiol', 'CAS': '13956-29-1', 'DRUGBANK': 'DB09061', 'MESH': 'D002185', 'PUBCHEM': '644019', 'CHEMBL': 'CHEMBL190461'}"	C0006863
MYCBP2	"('HGNC', '23386')"	"{'UP': 'O75592', 'TEXT': 'PAM', 'HGNC': '23386'}"	C1428063
selegiline	"('CHEBI', 'CHEBI:50217')"	"{'CHEBI': 'CHEBI:50217', 'TEXT': 'selegiline', 'DRUGBANK': 'DB01037', 'PUBCHEM': '26757', 'CHEMBL': 'CHEMBL972', 'CAS': '14611-51-9', 'HMDB': 'HMDB0015171', 'MESH': 'D012642'}"	C0036579
Diarrhea	"('MESH', 'D003967')"	"{'MESH': 'D003967', 'TEXT': 'diarrhea'}"	C0011991
cell adhesion	"('GO', 'GO:0007155')"	"{'GO': 'GO:0007155', 'TEXT': 'adhesion', 'MESH': 'D002448'}"	C0007577
quinolone	"('CHEBI', 'CHEBI:23765')"	"{'CHEBI': 'CHEBI:23765', 'TEXT': 'quinolone', 'MESH': 'D015363'}"	C0034428
Casp14	"('UP', 'O89094')"	"{'UP': 'O89094', 'TEXT': 'mice'}"	C1413131
chemotaxis	"('GO', 'GO:0006935')"	"{'GO': 'GO:0006935', 'TEXT': 'chemotaxis', 'MESH': 'D002633'}"	C0008018
NFT	"(None, None)"	{'TEXT': 'NFT'}	C0085400
scopolamine	"('CHEBI', 'CHEBI:16794')"	"{'CHEBI': 'CHEBI:16794', 'TEXT': 'scopolamine', 'MESH': 'D012601', 'DRUGBANK': 'DB00747', 'PUBCHEM': '3000322', 'HMDB': 'HMDB0003573', 'CHEMBL': 'CHEMBL1906925', 'CAS': '51-34-3'}"	C0036442
"Dementia, Vascular"	"('MESH', 'D015140')"	"{'MESH': 'D015140', 'TEXT': 'Vascular dementia', 'EFO': '0004718'}"	C0497327
Syndrome	"('MESH', 'D013577')"	"{'MESH': 'D013577', 'TEXT': 'syndrome', 'DOID': 'DOID:225'}"	C0039082
DISC1	"('HGNC', '2888')"	"{'UP': 'Q9NRI5', 'TEXT': 'Disrupted-in-Schizophrenia-1', 'HGNC': '2888'}"	C1414054
